Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-06-07,11.838545799255373,11.838545799255373,11.838545799255373,11.838545799255371,0,0.0,0
2018-06-08,11.838545799255373,11.838545799255373,11.838545799255373,11.838545799255371,0,0.0,0
2018-06-11,11.838545799255373,11.838545799255373,11.838545799255373,11.838545799255371,0,0.0,0
2018-06-12,11.838545799255373,11.838545799255373,11.838545799255373,11.838545799255371,0,0.0,0
2018-06-13,11.838545799255373,11.838545799255373,11.838545799255373,11.838545799255371,0,0.0,0
2018-06-14,11.838545799255373,11.838545799255373,11.838545799255373,11.838545799255371,0,0.0,0
2018-06-15,11.838545799255373,11.838545799255373,11.838545799255373,11.838545799255371,0,0.0,0
2018-06-18,11.838545799255373,11.838545799255373,11.838545799255373,11.838545799255371,0,0.0,0
2018-06-19,11.838545799255373,11.838545799255373,11.838545799255373,11.838545799255371,0,0.0,0
2018-06-20,11.838545799255373,11.838545799255373,11.838545799255373,11.838545799255371,0,0.0,0
2018-06-21,11.838545799255373,11.838545799255373,11.838545799255373,11.838545799255371,0,0.0,0
2018-06-22,11.838545799255373,11.838545799255373,11.838545799255373,11.838545799255371,0,0.0,0
2018-06-25,11.838545799255373,11.838545799255373,11.838545799255373,11.838545799255371,0,0.0,0
2018-06-26,11.838545799255373,11.838545799255373,11.838545799255373,11.838545799255371,0,0.0,0
2018-06-27,11.838545799255373,11.838545799255373,11.838545799255373,11.838545799255371,0,0.0,0
2018-06-28,11.838545799255373,11.838545799255373,11.838545799255373,11.838545799255371,0,0.0,0
2018-06-29,11.838545799255373,11.838545799255373,11.838545799255373,11.838545799255371,0,0.0,0
2018-07-02,11.838545799255373,11.838545799255373,11.838545799255373,11.838545799255371,0,0.0,0
2018-07-03,11.838545799255373,11.838545799255373,11.838545799255373,11.838545799255371,0,0.0,0
2018-07-04,11.838545799255373,11.838545799255373,11.838545799255373,11.838545799255371,0,0.0,0
2018-07-05,11.838545799255373,11.838545799255373,11.838545799255373,11.838545799255371,0,0.0,0
2018-07-06,11.838545799255373,11.838545799255373,11.838545799255373,11.838545799255371,0,0.0,0
2018-07-10,11.838545799255373,11.838545799255373,11.838545799255373,11.838545799255371,0,0.0,0
2018-07-11,11.838545799255373,11.838545799255373,11.838545799255373,11.838545799255371,0,0.0,0
2018-07-12,11.838545799255373,11.838545799255373,11.838545799255373,11.838545799255371,0,0.0,0
2018-07-13,11.838545799255373,11.838545799255373,11.838545799255373,11.838545799255371,0,0.0,0
2018-07-16,11.838545799255373,11.838545799255373,11.838545799255373,11.838545799255371,0,0.0,0
2018-07-17,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,200,0.0,0
2018-07-18,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-07-19,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-07-20,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-07-23,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-07-24,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-07-25,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-07-26,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-07-27,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-07-30,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-07-31,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-08-01,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-08-02,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-08-03,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-08-06,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-08-07,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-08-08,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-08-09,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-08-10,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-08-13,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-08-14,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-08-15,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-08-16,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-08-17,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-08-20,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-08-21,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-08-22,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-08-23,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-08-24,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-08-27,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-08-28,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-08-29,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-08-30,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-08-31,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-09-03,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-09-04,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-09-05,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-09-06,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-09-10,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-09-11,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-09-12,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-09-13,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-09-14,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-09-17,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-09-18,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-09-19,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-09-20,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-09-21,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-09-24,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-09-25,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-09-26,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-09-27,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-09-28,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-10-01,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-10-02,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-10-03,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-10-04,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-10-05,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-10-08,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-10-09,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-10-10,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-10-11,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-10-15,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-10-16,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-10-17,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-10-18,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-10-19,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-10-22,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-10-23,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-10-24,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-10-25,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-10-26,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-10-29,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-10-30,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-10-31,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-11-01,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-11-05,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-11-06,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-11-07,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-11-08,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-11-09,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-11-12,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-11-13,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-11-14,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-11-16,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-11-19,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-11-21,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-11-22,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-11-23,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-11-26,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-11-27,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-11-28,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-11-29,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-11-30,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-12-03,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-12-04,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-12-05,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-12-06,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-12-07,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-12-10,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-12-11,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-12-12,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-12-13,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-12-14,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-12-17,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-12-18,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-12-19,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-12-20,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-12-21,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-12-26,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-12-27,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2018-12-28,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-01-02,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-01-03,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-01-04,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-01-07,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-01-08,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-01-09,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-01-10,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-01-11,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-01-14,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-01-15,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-01-16,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-01-17,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-01-18,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-01-21,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-01-22,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-01-23,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-01-24,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-01-28,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-01-29,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-01-30,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-01-31,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-02-01,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-02-04,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-02-05,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-02-06,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-02-07,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-02-08,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-02-11,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-02-12,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-02-13,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-02-14,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-02-15,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-02-18,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-02-19,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-02-20,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-02-21,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-02-22,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-02-25,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-02-26,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-02-27,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-02-28,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-03-01,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-03-06,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-03-07,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-03-08,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-03-11,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-03-12,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-03-13,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-03-14,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-03-15,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-03-18,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-03-19,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-03-20,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-03-21,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-03-22,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-03-25,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-03-26,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,6100,0.0,0
2019-03-27,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-03-28,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-03-29,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-04-01,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-04-02,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-04-03,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-04-04,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-04-05,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-04-08,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-04-09,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-04-10,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-04-11,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-04-12,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-04-15,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-04-16,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-04-17,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-04-18,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-04-22,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-04-23,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-04-24,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-04-25,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-04-26,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-04-29,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-04-30,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-05-02,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-05-03,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-05-06,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-05-07,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-05-08,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-05-09,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-05-10,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-05-13,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-05-14,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-05-15,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-05-16,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-05-17,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-05-20,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-05-21,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-05-22,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-05-23,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-05-24,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-05-27,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-05-28,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-05-29,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-05-30,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-05-31,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-06-03,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-06-04,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-06-05,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-06-06,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-06-07,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-06-10,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-06-11,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-06-12,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-06-13,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-06-14,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-06-17,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-06-18,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-06-19,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-06-21,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-06-24,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-06-25,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-06-26,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-06-27,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-06-28,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-07-01,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-07-02,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-07-03,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-07-04,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-07-05,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-07-08,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-07-10,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-07-11,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-07-12,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-07-15,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-07-16,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-07-17,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-07-18,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-07-19,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-07-22,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-07-23,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-07-24,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-07-25,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-07-26,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-07-29,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-07-30,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-07-31,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-08-01,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-08-02,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-08-05,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-08-06,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-08-07,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-08-08,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-08-09,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-08-12,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-08-13,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-08-14,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-08-15,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-08-16,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-08-19,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
2019-08-20,11.858277320861816,11.858277320861816,11.858277320861816,11.858277320861816,0,0.0,0
