Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2006-01-30,-0.1966700255870819,-0.1966700255870819,-0.1966700255870819,-0.1966700255870819,0,0.0,0.0
2006-01-31,-0.1966700255870819,-0.1966700255870819,-0.1966700255870819,-0.1966700255870819,0,0.0,0.0
2006-02-01,-0.1966700255870819,-0.1966700255870819,-0.1966700255870819,-0.1966700255870819,0,0.0,0.0
2006-02-02,-0.1966700255870819,-0.1966700255870819,-0.1966700255870819,-0.1966700255870819,0,0.0,0.0
2006-02-03,-0.1966700255870819,-0.1966700255870819,-0.1966700255870819,-0.1966700255870819,0,0.0,0.0
2006-02-06,-0.1966700255870819,-0.1966700255870819,-0.1966700255870819,-0.1966700255870819,0,0.0,0.0
2006-02-07,-0.1966700255870819,-0.1966700255870819,-0.1966700255870819,-0.1966700255870819,0,0.0,0.0
2006-02-08,-0.1966700255870819,-0.1966700255870819,-0.1966700255870819,-0.1966700255870819,0,0.0,0.0
2006-02-09,-0.1966700255870819,-0.1966700255870819,-0.1966700255870819,-0.1966700255870819,0,0.0,0.0
2006-02-10,-0.1966700255870819,-0.1966700255870819,-0.1966700255870819,-0.1966700255870819,0,0.0,0.0
2006-02-13,-0.1966700255870819,-0.1966700255870819,-0.1966700255870819,-0.1966700255870819,0,0.0,0.0
2006-02-14,-0.1966700255870819,-0.1966700255870819,-0.1966700255870819,-0.1966700255870819,0,0.0,0.0
2006-02-15,-0.1966700255870819,-0.1966700255870819,-0.1966700255870819,-0.1966700255870819,0,0.0,0.0
2006-02-16,-0.1966700255870819,-0.1966700255870819,-0.1966700255870819,-0.1966700255870819,0,0.0,0.0
2006-02-17,-0.1966700255870819,-0.1966700255870819,-0.1966700255870819,-0.1966700255870819,0,0.0,0.0
2006-02-20,-0.1966700255870819,-0.1966700255870819,-0.1966700255870819,-0.1966700255870819,0,0.0,0.0
2006-02-21,-0.1966700255870819,-0.1966700255870819,-0.1966700255870819,-0.1966700255870819,0,0.0,0.0
2006-02-22,-0.1966700255870819,-0.1966700255870819,-0.1966700255870819,-0.1966700255870819,0,0.0,0.0
2006-02-23,-0.1966700255870819,-0.1966700255870819,-0.1966700255870819,-0.1966700255870819,0,0.0,0.0
2006-02-24,-0.1966700255870819,-0.1966700255870819,-0.1966700255870819,-0.1966700255870819,0,0.0,0.0
2006-02-27,-0.1966700255870819,-0.1966700255870819,-0.1966700255870819,-0.1966700255870819,0,0.0,0.0
2006-02-28,-0.1966700255870819,-0.1966700255870819,-0.1966700255870819,-0.1966700255870819,0,0.0,0.0
2006-03-01,-0.1966700255870819,-0.1966700255870819,-0.1966700255870819,-0.1966700255870819,0,0.0,0.0
2006-03-02,-0.1966700255870819,-0.1966700255870819,-0.1966700255870819,-0.1966700255870819,0,0.0,0.0
2006-03-03,-0.1966700255870819,-0.1966700255870819,-0.1966700255870819,-0.1966700255870819,0,0.0,0.0
2006-03-06,-0.1966700255870819,-0.1966700255870819,-0.1966700255870819,-0.1966700255870819,0,0.0,0.0
2006-03-07,-0.1966700255870819,-0.1966700255870819,-0.1966700255870819,-0.1966700255870819,0,0.0,0.0
2006-03-08,-0.1966700255870819,-0.1966700255870819,-0.1966700255870819,-0.1966700255870819,0,0.0,0.0
2006-03-09,-0.308461457490921,-0.308461457490921,-0.308461457490921,-0.308461457490921,2,0.0,0.0
2006-03-10,-0.308461457490921,-0.308461457490921,-0.308461457490921,-0.308461457490921,0,0.0,0.0
2006-03-13,-0.308461457490921,-0.308461457490921,-0.308461457490921,-0.308461457490921,0,0.0,0.0
2006-03-14,-0.308461457490921,-0.308461457490921,-0.308461457490921,-0.308461457490921,0,0.0,0.0
2006-03-15,-0.308461457490921,-0.308461457490921,-0.308461457490921,-0.308461457490921,0,0.0,0.0
2006-03-16,-0.308461457490921,-0.308461457490921,-0.308461457490921,-0.308461457490921,0,0.0,0.0
2006-03-17,-0.308461457490921,-0.308461457490921,-0.308461457490921,-0.308461457490921,0,0.0,0.0
2006-03-20,-0.308461457490921,-0.308461457490921,-0.308461457490921,-0.308461457490921,0,0.0,0.0
2006-03-21,-0.308461457490921,-0.308461457490921,-0.308461457490921,-0.308461457490921,0,0.0,0.0
2006-03-22,-0.308461457490921,-0.308461457490921,-0.308461457490921,-0.308461457490921,0,0.0,0.0
2006-03-23,-0.308461457490921,-0.308461457490921,-0.308461457490921,-0.308461457490921,0,0.0,0.0
2006-03-24,-0.308461457490921,-0.308461457490921,-0.308461457490921,-0.308461457490921,0,0.0,0.0
2006-03-27,-0.308461457490921,-0.308461457490921,-0.308461457490921,-0.308461457490921,0,0.0,0.0
2006-03-28,-0.308461457490921,-0.308461457490921,-0.308461457490921,-0.308461457490921,0,0.0,0.0
2006-03-29,-0.3726379871368408,-0.3726379871368408,-0.3726379871368408,-0.3726379871368408,6,0.0,0.0
2006-03-30,-0.4243932068347931,-0.4243932068347931,-0.4243932068347931,-0.4243932068347931,6,0.0,0.0
2006-03-31,-0.4243932068347931,-0.4243932068347931,-0.4243932068347931,-0.4243932068347931,0,0.0,0.0
2006-04-03,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,2,0.0,0.0
2006-04-04,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,0,0.0,0.0
2006-04-05,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,0,0.0,0.0
2006-04-06,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,0,0.0,0.0
2006-04-07,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,0,0.0,0.0
2006-04-10,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,0,0.0,0.0
2006-04-11,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,0,0.0,0.0
2006-04-12,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,0,0.0,0.0
2006-04-13,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,0,0.0,0.0
2006-04-14,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,0,0.0,0.0
2006-04-17,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,0,0.0,0.0
2006-04-18,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,0,0.0,0.0
2006-04-19,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,0,0.0,0.0
2006-04-20,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,0,0.0,0.0
2006-04-21,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,0,0.0,0.0
2006-04-24,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,0,0.0,0.0
2006-04-25,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,0,0.0,0.0
2006-04-26,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,0,0.0,0.0
2006-04-27,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,0,0.0,0.0
2006-04-28,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,0,0.0,0.0
2006-05-01,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,0,0.0,0.0
2006-05-02,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,0,0.0,0.0
2006-05-03,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,0,0.0,0.0
2006-05-04,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,0,0.0,0.0
2006-05-05,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,0,0.0,0.0
2006-05-08,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,0,0.0,0.0
2006-05-09,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,0,0.0,0.0
2006-05-10,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,0,0.0,0.0
2006-05-11,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,0,0.0,0.0
2006-05-12,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,0,0.0,0.0
2006-05-15,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,0,0.0,0.0
2006-05-16,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,0,0.0,0.0
2006-05-17,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,0,0.0,0.0
2006-05-18,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,0,0.0,0.0
2006-05-19,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,0,0.0,0.0
2006-05-22,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,0,0.0,0.0
2006-05-23,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,0,0.0,0.0
2006-05-24,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,0,0.0,0.0
2006-05-25,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,0,0.0,0.0
2006-05-26,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,0,0.0,0.0
2006-05-29,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,0,0.0,0.0
2006-05-30,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,0,0.0,0.0
2006-05-31,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,0,0.0,0.0
2006-06-01,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,0,0.0,0.0
2006-06-02,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,0,0.0,0.0
2006-06-05,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,-0.46579745411872864,0,0.0,0.0
2006-06-06,-0.414042204618454,-0.414042204618454,-0.414042204618454,-0.414042204618454,2,0.0,0.0
2006-06-07,-0.414042204618454,-0.414042204618454,-0.414042204618454,-0.414042204618454,0,0.0,0.0
2006-06-08,-0.414042204618454,-0.414042204618454,-0.414042204618454,-0.414042204618454,0,0.0,0.0
2006-06-09,-0.414042204618454,-0.414042204618454,-0.414042204618454,-0.414042204618454,0,0.0,0.0
2006-06-12,-0.414042204618454,-0.414042204618454,-0.414042204618454,-0.414042204618454,0,0.0,0.0
2006-06-13,-0.414042204618454,-0.414042204618454,-0.414042204618454,-0.414042204618454,0,0.0,0.0
2006-06-14,-0.414042204618454,-0.414042204618454,-0.414042204618454,-0.414042204618454,0,0.0,0.0
2006-06-15,-0.414042204618454,-0.414042204618454,-0.414042204618454,-0.414042204618454,0,0.0,0.0
2006-06-16,-0.414042204618454,-0.414042204618454,-0.414042204618454,-0.414042204618454,0,0.0,0.0
2006-06-19,-0.414042204618454,-0.414042204618454,-0.414042204618454,-0.414042204618454,0,0.0,0.0
2006-06-20,-0.414042204618454,-0.414042204618454,-0.414042204618454,-0.414042204618454,0,0.0,0.0
2006-06-21,-0.414042204618454,-0.414042204618454,-0.414042204618454,-0.414042204618454,0,0.0,0.0
2006-06-22,-0.414042204618454,-0.414042204618454,-0.414042204618454,-0.414042204618454,0,0.0,0.0
2006-06-23,-0.414042204618454,-0.414042204618454,-0.414042204618454,-0.414042204618454,0,0.0,0.0
2006-06-26,-0.414042204618454,-0.414042204618454,-0.414042204618454,-0.414042204618454,0,0.0,0.0
2006-06-27,-0.414042204618454,-0.414042204618454,-0.414042204618454,-0.414042204618454,0,0.0,0.0
2006-06-28,-0.414042204618454,-0.414042204618454,-0.414042204618454,-0.414042204618454,0,0.0,0.0
2006-06-29,-0.414042204618454,-0.414042204618454,-0.414042204618454,-0.414042204618454,0,0.0,0.0
2006-06-30,-0.414042204618454,-0.414042204618454,-0.414042204618454,-0.414042204618454,0,0.0,0.0
2006-07-03,-0.414042204618454,-0.414042204618454,-0.414042204618454,-0.414042204618454,0,0.0,0.0
2006-07-04,-0.414042204618454,-0.414042204618454,-0.414042204618454,-0.414042204618454,0,0.0,0.0
2006-07-05,-0.414042204618454,-0.414042204618454,-0.414042204618454,-0.414042204618454,0,0.0,0.0
2006-07-06,-0.414042204618454,-0.414042204618454,-0.414042204618454,-0.414042204618454,0,0.0,0.0
2006-07-07,-0.414042204618454,-0.414042204618454,-0.414042204618454,-0.414042204618454,0,0.0,0.0
2006-07-10,-0.414042204618454,-0.414042204618454,-0.414042204618454,-0.414042204618454,0,0.0,0.0
2006-07-11,-0.414042204618454,-0.414042204618454,-0.414042204618454,-0.414042204618454,0,0.0,0.0
2006-07-12,-0.414042204618454,-0.414042204618454,-0.414042204618454,-0.414042204618454,0,0.0,0.0
2006-07-13,-0.414042204618454,-0.414042204618454,-0.414042204618454,-0.414042204618454,0,0.0,0.0
2006-07-14,-0.414042204618454,-0.414042204618454,-0.414042204618454,-0.414042204618454,0,0.0,0.0
2006-07-17,-0.414042204618454,-0.414042204618454,-0.414042204618454,-0.414042204618454,0,0.0,0.0
2006-07-18,-0.414042204618454,-0.414042204618454,-0.414042204618454,-0.414042204618454,0,0.0,0.0
2006-07-19,-0.414042204618454,-0.414042204618454,-0.414042204618454,-0.414042204618454,0,0.0,0.0
2006-07-20,-0.414042204618454,-0.414042204618454,-0.414042204618454,-0.414042204618454,0,0.0,0.0
2006-07-21,-0.414042204618454,-0.414042204618454,-0.414042204618454,-0.414042204618454,0,0.0,0.0
2006-07-24,-0.414042204618454,-0.414042204618454,-0.414042204618454,-0.414042204618454,0,0.0,0.0
2006-07-25,-0.414042204618454,-0.414042204618454,-0.414042204618454,-0.414042204618454,0,0.0,0.0
2006-07-26,-0.414042204618454,-0.414042204618454,-0.414042204618454,-0.414042204618454,0,0.0,0.0
2006-07-27,-0.414042204618454,-0.414042204618454,-0.414042204618454,-0.414042204618454,0,0.0,0.0
2006-07-28,-0.414042204618454,-0.414042204618454,-0.414042204618454,-0.414042204618454,0,0.0,0.0
2006-07-31,-0.414042204618454,-0.414042204618454,-0.414042204618454,-0.414042204618454,0,0.0,0.0
2006-08-01,-0.414042204618454,-0.414042204618454,-0.414042204618454,-0.414042204618454,0,0.0,0.0
2006-08-02,-0.414042204618454,-0.414042204618454,-0.414042204618454,-0.414042204618454,0,0.0,0.0
2006-08-03,-0.414042204618454,-0.414042204618454,-0.414042204618454,-0.414042204618454,0,0.0,0.0
2006-08-04,-0.414042204618454,-0.414042204618454,-0.414042204618454,-0.414042204618454,0,0.0,0.0
2006-08-07,-0.414042204618454,-0.414042204618454,-0.414042204618454,-0.414042204618454,0,0.0,0.0
2006-08-08,-0.414042204618454,-0.414042204618454,-0.414042204618454,-0.414042204618454,0,0.0,0.0
2006-08-09,-0.414042204618454,-0.414042204618454,-0.414042204618454,-0.414042204618454,0,0.0,0.0
2006-08-10,-0.414042204618454,-0.414042204618454,-0.414042204618454,-0.414042204618454,0,0.0,0.0
2006-08-11,-0.414042204618454,-0.414042204618454,-0.414042204618454,-0.414042204618454,0,0.0,0.0
2006-08-14,-0.414042204618454,-0.414042204618454,-0.414042204618454,-0.414042204618454,0,0.0,0.0
2006-08-15,-0.414042204618454,-0.414042204618454,-0.414042204618454,-0.414042204618454,0,0.0,0.0
2006-08-16,-0.414042204618454,-0.414042204618454,-0.414042204618454,-0.414042204618454,0,0.0,0.0
2006-08-17,-0.4347443282604218,-0.4347443282604218,-0.4347443282604218,-0.43474432826042175,12,0.0,0.0
2006-08-18,-0.4347443282604218,-0.4347443282604218,-0.4347443282604218,-0.43474432826042175,0,0.0,0.0
2006-08-21,-0.4347443282604218,-0.4347443282604218,-0.4347443282604218,-0.43474432826042175,0,0.0,0.0
2006-08-22,-0.4347443282604218,-0.4347443282604218,-0.4347443282604218,-0.43474432826042175,0,0.0,0.0
2006-08-23,-0.4347443282604218,-0.4347443282604218,-0.4347443282604218,-0.43474432826042175,0,0.0,0.0
2006-08-24,-0.4347443282604218,-0.4347443282604218,-0.4347443282604218,-0.43474432826042175,0,0.0,0.0
2006-08-25,-0.4347443282604218,-0.4347443282604218,-0.4347443282604218,-0.43474432826042175,0,0.0,0.0
2006-08-28,-0.4347443282604218,-0.4347443282604218,-0.4347443282604218,-0.43474432826042175,0,0.0,0.0
2006-08-29,-0.4347443282604218,-0.4347443282604218,-0.4347443282604218,-0.43474432826042175,0,0.0,0.0
2006-08-30,-0.4347443282604218,-0.4347443282604218,-0.4347443282604218,-0.43474432826042175,0,0.0,0.0
2006-08-31,-0.4347443282604218,-0.4347443282604218,-0.4347443282604218,-0.43474432826042175,0,0.0,0.0
2006-09-01,-0.4347443282604218,-0.4347443282604218,-0.4347443282604218,-0.43474432826042175,0,0.0,0.0
2006-09-04,-0.4347443282604218,-0.4347443282604218,-0.4347443282604218,-0.43474432826042175,0,0.0,0.0
2006-09-05,-0.4347443282604218,-0.4347443282604218,-0.4347443282604218,-0.43474432826042175,0,0.0,0.0
2006-09-06,-0.4347443282604218,-0.4347443282604218,-0.4347443282604218,-0.43474432826042175,0,0.0,0.0
2006-09-07,-0.4347443282604218,-0.4347443282604218,-0.4347443282604218,-0.43474432826042175,0,0.0,0.0
2006-09-08,-0.4347443282604218,-0.4347443282604218,-0.4347443282604218,-0.43474432826042175,0,0.0,0.0
2006-09-11,-0.4347443282604218,-0.4347443282604218,-0.4347443282604218,-0.43474432826042175,0,0.0,0.0
2006-09-12,-0.4347443282604218,-0.4347443282604218,-0.4347443282604218,-0.43474432826042175,0,0.0,0.0
2006-09-13,-0.4347443282604218,-0.4347443282604218,-0.4347443282604218,-0.43474432826042175,0,0.0,0.0
2006-09-14,-0.4347443282604218,-0.4347443282604218,-0.4347443282604218,-0.43474432826042175,0,0.0,0.0
2006-09-15,-0.4347443282604218,-0.4347443282604218,-0.4347443282604218,-0.43474432826042175,0,0.0,0.0
2006-09-18,-0.4347443282604218,-0.4347443282604218,-0.4347443282604218,-0.43474432826042175,0,0.0,0.0
2006-09-19,-0.4347443282604218,-0.4347443282604218,-0.4347443282604218,-0.43474432826042175,0,0.0,0.0
2006-09-20,-0.4347443282604218,-0.4347443282604218,-0.4347443282604218,-0.43474432826042175,0,0.0,0.0
2006-09-21,-0.4347443282604218,-0.4347443282604218,-0.4347443282604218,-0.43474432826042175,0,0.0,0.0
2006-09-22,-0.4347443282604218,-0.4347443282604218,-0.4347443282604218,-0.43474432826042175,0,0.0,0.0
2006-09-25,-0.4347443282604218,-0.4347443282604218,-0.4347443282604218,-0.43474432826042175,0,0.0,0.0
2006-09-26,-0.4347443282604218,-0.4347443282604218,-0.4347443282604218,-0.43474432826042175,0,0.0,0.0
2006-09-27,-0.4347443282604218,-0.4347443282604218,-0.4347443282604218,-0.43474432826042175,0,0.0,0.0
2006-09-28,-0.4347443282604218,-0.4347443282604218,-0.4347443282604218,-0.43474432826042175,0,0.0,0.0
2006-09-29,-0.4347443282604218,-0.4347443282604218,-0.4347443282604218,-0.43474432826042175,0,0.0,0.0
2006-10-02,-0.4347443282604218,-0.4347443282604218,-0.4347443282604218,-0.43474432826042175,0,0.0,0.0
2006-10-03,-0.4347443282604218,-0.4347443282604218,-0.4347443282604218,-0.43474432826042175,0,0.0,0.0
2006-10-04,-0.4347443282604218,-0.4347443282604218,-0.4347443282604218,-0.43474432826042175,0,0.0,0.0
2006-10-05,-0.4347443282604218,-0.4347443282604218,-0.4347443282604218,-0.43474432826042175,0,0.0,0.0
2006-10-06,-0.4347443282604218,-0.4347443282604218,-0.4347443282604218,-0.43474432826042175,0,0.0,0.0
2006-10-09,-0.4347443282604218,-0.4347443282604218,-0.4347443282604218,-0.43474432826042175,0,0.0,0.0
2006-10-10,-0.4347443282604218,-0.4347443282604218,-0.4347443282604218,-0.43474432826042175,0,0.0,0.0
2006-10-11,-0.4347443282604218,-0.4347443282604218,-0.4347443282604218,-0.43474432826042175,0,0.0,0.0
2006-10-12,-0.4347443282604218,-0.4347443282604218,-0.4347443282604218,-0.43474432826042175,0,0.0,0.0
2006-10-13,-0.4347443282604218,-0.4347443282604218,-0.4347443282604218,-0.43474432826042175,0,0.0,0.0
2006-10-16,-0.4347443282604218,-0.4347443282604218,-0.4347443282604218,-0.43474432826042175,0,0.0,0.0
2006-10-17,-0.4347443282604218,-0.4347443282604218,-0.4347443282604218,-0.43474432826042175,0,0.0,0.0
2006-10-18,-0.4347443282604218,-0.4347443282604218,-0.4347443282604218,-0.43474432826042175,0,0.0,0.0
2006-10-19,-0.4347443282604218,-0.4347443282604218,-0.4347443282604218,-0.43474432826042175,0,0.0,0.0
2006-10-20,-0.4347443282604218,-0.4347443282604218,-0.4347443282604218,-0.43474432826042175,0,0.0,0.0
2006-10-23,-0.4347443282604218,-0.4347443282604218,-0.4347443282604218,-0.43474432826042175,0,0.0,0.0
2006-10-24,-0.4347443282604218,-0.4347443282604218,-0.4347443282604218,-0.43474432826042175,0,0.0,0.0
2006-10-25,-0.4347443282604218,-0.4347443282604218,-0.4347443282604218,-0.43474432826042175,0,0.0,0.0
2006-10-26,-0.4347443282604218,-0.4347443282604218,-0.4347443282604218,-0.43474432826042175,0,0.0,0.0
2006-10-27,-0.4347443282604218,-0.4347443282604218,-0.4347443282604218,-0.43474432826042175,0,0.0,0.0
2006-10-30,-0.4347443282604218,-0.4347443282604218,-0.4347443282604218,-0.43474432826042175,0,0.0,0.0
